,gender,age_at_enrollment,city_of_residence,enroll_after_hs_or_college,avg_high_school_score,favorite_subjects,math_score,russian_score,first_choice_subject_score,second_choice_subject_score,english_proficiency,university_faculty,field_of_study,program_satisfaction,interest_in_extracurriculars,sportiness,importance_of_budget_admission,visited_open_day,self_organization_ability,tutoring_experience,advanced_subjects_in_school,additional_subjects_on_exams,olympiad_success,pre_university_interests,time_for_self_development,admission_method,id
709,1,17,балашиха,после 11 класса,4.5,"математика, информатика",80.0,89.0,75.0,0.0,могу общаться в повседневных ситуациях,ит (информационные технологии),09.03.01 информатика и вычислительная техника,5,готов сходить на пару заинтересовавших мероприятий,предпочитаю лишний раз не двигаться,обязательно,False,готов почитать несколько статей по теме предмета,True,математика,информатика,False,программирование,несколько часов в неделю,баллы егэ,f365c52b-0e0e-4571-aad5-11da4df1105e
710,0,18,ясенская,после 11 класса,4.0,"физика, информатика",62.0,82.0,51.0,55.0,могу читать несложные диалоги,сисс (сети и системы связи),11.03.02 инфокоммуникационные технологии и системы связи (сисс),7,только учеба,предпочитаю лишний раз не двигаться,обязательно,False,готов почитать несколько статей по теме предмета,False,физика,"физика, информатика",False,"программирование, компьютерное 3d-моделирование",несколько часов в неделю,баллы егэ,d6e4d417-b2c6-4b03-ae8e-8cb81b580d19
711,1,17,"красногорск, рп. нахабино",после 11 класса,4.5,"математика, иностранный язык, информатика",53.0,78.0,50.0,76.0,"могу коммуницировать с носителями, частично знаю деловую речь",сисс (сети и системы связи),11.03.02 инфокоммуникационные технологии и системы связи (сисс),10,готов сходить на пару заинтересовавших мероприятий,регулярно занимаюсь любимым видом спорта / в тренажерном зале,обязательно,True,изучу всё связанное с темой предмета,False,unknown,"иностранный язык, информатика",True,"программирование, компьютерное 3d-моделирование, робототехника, инженерная деятельность",больше 10 часов в неделю,баллы егэ,fda92a52-5aa5-48ea-9658-b057e297746c
712,1,18,москва,после 11 класса,4.5,"русский язык, математика, литература, иностранный язык",72.0,54.0,85.0,0.0,могу общаться в повседневных ситуациях,ит (информационные технологии),09.03.01 информатика и вычислительная техника,7,готов сходить на пару заинтересовавших мероприятий,люблю физические нагрузки в умеренном количестве,важно,False,изучу всё связанное с темой предмета,True,unknown,информатика,False,"программирование, компьютерное 3d-моделирование",около 10 часов в неделю,баллы егэ,99794736-9735-4aeb-a2f1-2dd54790eff2
713,0,18,чехов,после 11 класса,3.5,"математика, литература, физика, астрономия",45.0,65.0,55.0,0.0,могу общаться в повседневных ситуациях,ит (информационные технологии),09.03.01 информатика и вычислительная техника,7,по возможности хотел бы участвовать регулярно,люблю физические нагрузки в умеренном количестве,важно,False,готов почитать несколько статей по теме предмета,True,unknown,информатика,True,"компьютерное 3d-моделирование, робототехника",около 10 часов в неделю,баллы егэ,dc411dc7-1cea-49fc-9541-a00692521701
714,1,18,москва,после 11 класса,4.5,"математика, иностранный язык, информатика",82.0,80.0,84.0,0.0,могу общаться в повседневных ситуациях,ит (информационные технологии),09.03.02 информационные системы и технологии,7,готов сходить на пару заинтересовавших мероприятий,люблю физические нагрузки в умеренном количестве,важно,False,готов почитать несколько статей по теме предмета,True,"русский язык, математика, иностранный язык, физика, информатика",информатика,False,"программирование, компьютерное 3d-моделирование, робототехника",около 10 часов в неделю,баллы егэ,e94c0dcd-0690-4f83-bb5b-35ba08d47638
715,1,17,москва,после 11 класса,4.0,"литература, иностранный язык, история, география, обществознание, информатика",58.0,54.0,36.0,0.0,"могу коммуницировать с носителями, частично знаю деловую речь",ит (информационные технологии),09.03.01 информатика и вычислительная техника,4,только учеба,люблю физические нагрузки в умеренном количестве,не принципиально,True,готов почитать несколько статей по теме предмета,False,"математика, физика, информатика",информатика,False,"компьютерное 3d-моделирование, робототехника, инженерная деятельность",больше 10 часов в неделю,баллы егэ,643b80d2-4921-4bf8-8464-1649cfd11eba
716,0,18,волоколамск,после 11 класса,5.0,"математика, химия, физика, астрономия, обществознание",76.0,94.0,72.0,0.0,могу читать несложные диалоги,цэимк (цифровая экономика и массовые коммуникации),38.03.01 экономика,10,готов сходить на пару заинтересовавших мероприятий,люблю физические нагрузки в умеренном количестве,обязательно,False,изучу всё связанное с темой предмета,True,математика,обществознание,False,unknown,около 10 часов в неделю,баллы егэ,33a26e1f-79c0-456a-87fd-5484fa374586
717,0,17,краснознаменск (московская область),после 11 класса,4.5,"математика, химия, информатика",62.0,85.0,79.0,64.0,могу общаться в повседневных ситуациях,рит (радио и телевидение),11.03.02 инфокоммуникационные технологии и системы связи (рит),8,по возможности хотел бы участвовать регулярно,нахожусь на профессиональном / полу-профессиональном уровне в своем виде спорта,обязательно,True,максимум - выполнение дома заданий от преподавателя,True,"математика, физика","обществознание, информатика",False,"компьютерное 3d-моделирование, эксперименты (лабораторные опыты) связанные с химией/физикой",больше 10 часов в неделю,баллы егэ,f7d54f27-7fb8-47a1-aee1-6158c32bacc2
718,0,17,москва,после 11 класса,4.0,"математика, иностранный язык, физика, информатика",60.0,80.0,56.0,49.0,могу читать несложные диалоги,ит (информационные технологии),09.03.02 информационные системы и технологии,6,только учеба,нахожусь на профессиональном / полу-профессиональном уровне в своем виде спорта,не очень важно,False,готов почитать несколько статей по теме предмета,True,иностранный язык,"физика, информатика",False,"программирование, эксперименты (лабораторные опыты) связанные с химией/физикой",около 10 часов в неделю,баллы егэ,94913e4b-c203-4128-aa64-c8c20a61fd41
719,1,17,москва,после 11 класса,4.0,"математика, иностранный язык, информатика",87.0,94.0,78.0,0.0,могу общаться в повседневных ситуациях,ит (информационные технологии),09.03.01 информатика и вычислительная техника,4,только учеба,регулярно занимаюсь любимым видом спорта / в тренажерном зале,важно,True,готов почитать несколько статей по теме предмета,True,unknown,информатика,False,"программирование, компьютерное 3d-моделирование",больше 10 часов в неделю,баллы егэ,6c0626f8-1443-400b-ad88-8b7e223837b3
